review_id,company,job_title,department,location,review_date,overall_rating,pros,cons,employee_id,name,status,joining_date,exit_date,engagement_score,performance_rating,salary_band,gender,age
review-64033626,Nineleaps Technology Solutions,Data Engineer,IT Support,Bangalore / Bengaluru,2024-12-18,2,Here at NINELEAPS we have fun with team and every year we have sports month.,Skill development is poor. You might be working as support even though you are hired for Data Engineering. Work Details Work policy: 2 days/week from office Work days: Monday to Friday (Strict Timings)  Work related travel: This is a desk job.,EMP0238,Rahul Nair,Active,2021-11-27,,6.1,5,C,Female,22
review-65978126,Nineleaps Technology Solutions,Lead Software Engineer,Software Development,Bangalore / Bengaluru,2025-01-31,5,People are friendly. Company even supports skills development. Thank to Company for covering cost of certification and courses. Salary hike was good. Manager understand the task and  has decent knowledge. No one behaves rudely.,Management should address queries immediately rather than delay.,EMP0047,Arjun Patel,Active,2021-05-28,,7.7,2,B,Male,50
review-61666842,Nineleaps Technology Solutions,Software Development Engineer II,Software Development,Bangalore / Bengaluru,2024-10-16,1,Nothing is good here,"Terrible work hours, management believes in putting pressure on employees to get things done rather than motivating them, unreasonable timelines and employees are forced to work on things that are not in their domain without any guidance. No benefits at all",EMP0233,Ananya Patel,Exited,2018-09-15,2021-03-08,4.9,2,C,Female,49
review-52536394,Nineleaps Technology Solutions,Front end Engineer,Software Development,Bangalore / Bengaluru,2023-11-25,4,"I have had a consistently positive experience working at Nineleaps. The company culture fosters a collaborative and inclusive environment, where everyone's contributions are valued. The leadership team is supportive, and there's a strong emphasis on professional development.
I appreciate the opportunities for growth and the challengi... Read More",sometimes unclear communication and limited transparency. Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This job involves Travel Within City.,EMP0220,Karthik Reddy,Active,2020-03-27,,8.0,1,B,Female,43
review-71474624,Nineleaps Technology Solutions,Associate,Software Development,Bangalore / Bengaluru,2025-06-17,5,Company ensures the safety and convenience. For those working night shifts they are provided cab facilities for the commute. So travelling late night is not a tension its secure.,You will have to be competitive with your results to prove your worthiness,EMP0117,Vikram Reddy,Exited,2018-04-09,2022-06-21,4.2,4,B,Male,34
review-59210064,Nineleaps Technology Solutions,HR Executive,HR Operations,Bangalore / Bengaluru,2024-07-30,5,"High Growth and industry exposure 
Healthy work-life balance 
skill development and training 
Nice perks flexible leaves, incentives, health coverage, and more",Fast faced environment.Need to be versatile and open to learning new things,EMP0029,Sneha Patel,Exited,2019-05-19,2024-08-18,5.9,1,A,Female,43
review-59780824,Nineleaps Technology Solutions,Software Development Engineer 1,DBA / Data warehousing,Bangalore / Bengaluru,2024-08-24,2,Na,"Feeling of external in client project.  Always under the radar, so much micro management. Work Details Work policy: 3 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.",EMP0198,Aisha Iyer,Active,2020-10-02,,6.6,5,A,Female,45
review-71474542,Nineleaps Technology Solutions,Software Engineer,Software Development,Bangalore / Bengaluru,2025-06-17,5,Thanks a lot to the company for supporting me by reimbursing my certificate cost. It was of huge help to me to purse my certification to upskill in my field.,You need to keep learning new skills and upgrade your professional standards,EMP0279,Diya Iyer,Active,2019-06-25,,6.4,4,A,Male,28
review-68876110,Nineleaps Technology Solutions,Data Analyst 1,Data Science & Machine Learning,Hyderabad / Secunderabad,2025-03-24,1,,"Work Life Balance, Always trying to impress Clients, Stressing Employees Work Details Work days: Monday to Friday (Strict Timings)  Work related travel: This job involves Travel Within City.",EMP0007,Meera Reddy,Active,2019-05-09,,8.6,4,A,Male,35
review-59238580,Nineleaps Technology Solutions,Data Analyst,Business Intelligence & Analytics,Bangalore / Bengaluru,2024-07-31,5,I love the open and flexible work environment here. Everyone works in coordination and brings fresh perspectives to the table.It's inspiring to work with such creative and talented minds,Tight work schedules and deadlines,EMP0250,Vivaan Sharma,Active,2021-09-05,,4.3,5,C,Female,45
review-70277580,Nineleaps Technology Solutions,UI UX Developer,UI / UX,Bangalore / Bengaluru,2025-05-05,5,"Its a workplace where you will see all creative minds always working on challenging projects, brushing up new ideas and calling out new strategies for the best outputs",Working on runtime uncertain challenges are something I hate,EMP0236,Vikram Reddy,Exited,2018-12-31,2023-03-14,5.0,1,C,Male,38
review-70740288,Nineleaps Technology Solutions,UI UX Developer,UI / UX,Bangalore / Bengaluru,2025-05-20,5,It's workplace where you will see all creative minds always working on challenges project brushing up with new Ideas and calling out new strategies for best outputs.,Working on runtime uncertain challenges are something I hate,EMP0068,Priya Nair,Active,2020-09-27,,7.0,5,C,Female,28
review-71816604,Nineleaps Technology Solutions,Software Development Engineer,Software Development,Bangalore / Bengaluru,2025-06-30,5,"I will be honest. If you are in state where you only wish for the best out of the best work expsoure, I suggest you work here. The company encourgaes learning and development and has comprehensive traning programs",,EMP0001,Ishaan Patel,Exited,2019-06-12,2021-11-03,8.1,4,A,Female,49
review-70277442,Nineleaps Technology Solutions,Quality Engineer,Quality Assurance and Testing,Bangalore / Bengaluru,2025-05-05,5,This workplace is for ambition changemakers.  No favoritism is practiced and tolerated only your work speaks of your professional growth in the company,Think joining of this company only if you give your 100%,EMP0106,Ananya Nair,Active,2022-09-19,,6.8,1,A,Male,45
review-60199406,Nineleaps Technology Solutions,Data Analyst,Business Intelligence & Analytics,Bangalore / Bengaluru,2024-09-12,5,"Great place to work and great learning curve.
You can master all the skills.
Company is small and simple. No politics and great opportunity",Less salary in my case but may vary for others Work Details Work days: Monday to Friday (Strict Timings)  Work related travel: This is a desk job.,EMP0185,Aisha Nair,Active,2022-04-21,,4.7,2,B,Female,37
review-65856170,Nineleaps Technology Solutions,Software Engineer,Software Development,Bangalore / Bengaluru,2025-01-29,5,Learning many things through projects I am  involved  Fast & Progressive professional growth Benefits are employee-friendly all staffs here are friendly,Work is continuous & Fast paced,EMP0234,Lakshmi Sharma,Active,2021-09-13,,5.2,1,C,Female,22
review-70740148,Nineleaps Technology Solutions,Software Engineer,Software Development,Bangalore / Bengaluru,2025-05-20,5,You can certainly expect a good growth in this company. Work Environment is flexible just complete your job in the given timeline and you are all good,You might require to wait extra hours,EMP0238,Rahul Nair,Active,2021-11-27,,6.1,5,C,Female,22
review-71709994,Nineleaps Technology Solutions,Software Developer,Software Development,Bangalore / Bengaluru,2025-06-26,5,"I completed 3 years in this company what I have realized in all these year is that company conducts all ist business operations with integrity , transparency and with maintaining ethical standards",,EMP0026,Priya Singh,Active,2022-12-24,,4.2,4,B,Male,40
review-56738108,Nineleaps Technology Solutions,Software Development Engineer II,Software Development,Bangalore / Bengaluru,2024-04-17,5,"Company is really chill. Very good vibe overall. No company politics. Colleagues are from various parts of India. All in all a great place to learn tech, grow connections and make friends.",No dislikes as such. Work Details Work policy: 2 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.,EMP0279,Diya Iyer,Active,2019-06-25,,6.4,4,A,Male,28
review-70077782,Nineleaps Technology Solutions,Associate,Software Development,Bangalore / Bengaluru,2025-04-26,5,Company is good to work. Emphasis is given on diversity and inclusivity which I believe is an advantage for all working here,You need to be consistent with result driven output in set timeline,EMP0060,Lakshmi Singh,Active,2020-12-28,,5.2,1,A,Male,24
review-60771400,Nineleaps Technology Solutions,Software Development Engineer II,Software Development,Bangalore / Bengaluru,2024-09-30,2,Opportunity for development,No work life balance Work Details Work days: Monday to Saturday (Strict Timings)  Work related travel: This job involves Travel Within City.,EMP0134,Vivaan Sharma,Active,2022-07-27,,6.6,5,C,Female,30
review-59707046,Nineleaps Technology Solutions,Quality Engineer,Production & Manufacturing,Bangalore / Bengaluru,2024-08-20,5,The company culture is nice teammates are all friendly and co-operative .There are many events and team outings organized by the management which are all love.,,EMP0115,Rahul Iyer,Exited,2019-10-09,2024-12-24,4.4,2,C,Male,31
review-70998116,Nineleaps Technology Solutions,Associate,Software Development,Bangalore / Bengaluru,2025-05-29,5,Company is good to work. Emphasis is given on diversity and inclusivity which I believed is an advantage for all working,You need to be consistent with result output in set timeline,EMP0196,Priya Singh,Active,2020-04-15,,7.9,4,B,Male,23
review-65443022,Nineleaps Technology Solutions,Software Development Engineer,Software Development,Nandigama,2025-01-23,4,Employee will get benefits for what they worked and hikes are good.,Better if work from home or hybrid model will be there.,EMP0263,Sneha Singh,Exited,2019-09-29,2021-07-29,4.3,1,A,Female,41
review-63557662,Nineleaps Technology Solutions,Data Analyst,Business Intelligence & Analytics,Bangalore / Bengaluru,2024-12-04,1,Asked to complete assignments and learn,Fired in 6 weeks on grounds of nothing. Work Details Work days: Monday to Friday (Strict Timings)  Work related travel: This job involves Travel Within City.,EMP0259,Meera Patel,Exited,2018-11-13,2021-03-05,6.2,2,B,Male,36
review-71161102,Nineleaps Technology Solutions,Principal Engineer,Software Development,Bangalore / Bengaluru,2025-06-04,5,"Based on user ratings: Salary, Skill development, Job security, Promotions, Work satisfaction, Company culture, Work-life balance",Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.,EMP0162,Arjun Iyer,Active,2020-11-18,,4.4,4,B,Male,31
review-70734796,Nineleaps Technology Solutions,Data Analyst 1,Data Science & Analytics - Other,Bangalore / Bengaluru,2025-05-20,3,"Based on user ratings: Skill development, Job security",Work Details Work days: Monday to Friday (Strict Timings)  Work related travel: This job involves Travel Within Country.,EMP0142,Ananya Singh,Exited,2020-02-17,2021-10-01,7.6,5,A,Male,37
review-59834936,Nineleaps Technology Solutions,Software Development Engineer 1,Software Development,Hyderabad / Secunderabad,2024-08-26,5,Good 👍😊,Nothing so far Work Details Work policy: 3 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.,EMP0293,Karthik Singh,Exited,2018-05-20,2022-08-01,8.5,4,C,Male,43
review-69522902,Nineleaps Technology Solutions,Junior Engineer,Engineering,Bangalore / Bengaluru,2025-04-08,5,"Salary offered is competitive. Although the work schedule is strict, the pace doesn't seem boring. Leave benefits are also good.",,EMP0152,Meera Sharma,Active,2022-03-09,,7.5,4,B,Female,23
review-61360698,Nineleaps Technology Solutions,Software Development Engineer,Software Development,Bangalore / Bengaluru,2024-10-11,4,Opportunity to learn diverse domain of technology and choose the tech stack that you love,5 days WFO policy,EMP0266,Sneha Sharma,Active,2023-02-15,,5.9,2,C,Female,23
review-62653600,Nineleaps Technology Solutions,Marketing Executive,Marketing,Bangalore / Bengaluru,2024-11-13,5,The company culture is very nice. each employee is a valuable member of the organization,No wfh,EMP0290,Rahul Singh,Exited,2018-05-23,2022-06-07,6.3,3,A,Female,37
review-57727038,Nineleaps Technology Solutions,Data Engineer,Data,Bangalore / Bengaluru,2024-06-06,3,Cab facility,No skill development and work satisfaction Work Details Work policy: 2 days/week from office Work days: Monday to Friday (Strict Timings)  Work related travel: This is a desk job.,EMP0169,Rohan Sharma,Active,2021-04-23,,8.4,1,C,Female,34
review-57227828,Nineleaps Technology Solutions,Senior Quality Engineer,Quality Assurance and Testing,Hyderabad / Secunderabad,2024-05-13,5,It was awesome company and management also very helpful to employees and nice HR and manager also very collaborative with team,No dislikes Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This job involves Travel Within City.,EMP0229,Arjun Iyer,Exited,2018-05-20,2023-03-24,5.0,5,B,Female,32
review-64961446,Nineleaps Technology Solutions,Sdet,Quality Assurance and Testing,Bangalore / Bengaluru,2025-01-11,4,"Good place to grow, Work culture is also good",There is nothing much to mention,EMP0070,Rahul Sharma,Exited,2018-02-09,2022-10-12,8.4,1,C,Female,34
review-59571192,Nineleaps Technology Solutions,Data Analyst 1,Data Science & Machine Learning,Bangalore / Bengaluru,2024-08-14,5,Good work culture .,Appraisal not as expected.,EMP0005,Karthik Reddy,Active,2019-03-28,,5.1,2,C,Male,39
review-57583670,Nineleaps Technology Solutions,SDE,Software Development,Bangalore / Bengaluru,2024-05-30,2,They have alot to work and learn,"Policies are not same for everyone , the management is totally rubbish they dont understand emergencies and treat you as a human. Work Details Work days: Monday to Friday (Flexible Timings)",EMP0175,Rohan Reddy,Exited,2019-09-07,2023-12-28,4.1,2,A,Female,25
review-64832420,Nineleaps Technology Solutions,Software Developer,Product Management - Technology,Hyderabad / Secunderabad,2025-01-07,5,They give good hikes,Only Client friendly,EMP0174,Karthik Singh,Active,2021-08-01,,8.5,3,B,Male,46
review-71063316,Nineleaps Technology Solutions,Data Analyst,Business Intelligence & Analytics,Bangalore / Bengaluru,2025-06-01,4,"Based on user ratings: Salary, Promotions, Company culture, Work-life balance",,EMP0138,Vikram Reddy,Exited,2018-11-14,2022-06-20,8.3,5,A,Male,45
review-66669026,Nineleaps Technology Solutions,Principal Software Engineer,Software Development,Bangalore / Bengaluru,2025-02-10,5,"Based on user ratings: Salary, Skill development, Job security, Promotions, Work satisfaction, Company culture, Work-life balance",,EMP0134,Vivaan Sharma,Active,2022-07-27,,6.6,5,C,Female,30
review-55317856,Nineleaps Technology Solutions,Associate Project Manager,Technology / IT,Bangalore / Bengaluru,2024-02-05,2,The chance of upgrading.,Job security and job role! Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.,EMP0251,Ananya Reddy,Active,2018-03-05,,4.9,1,C,Female,27
review-65028516,Nineleaps Technology Solutions,QA Engineer,Quality Assurance and Testing,Bangalore / Bengaluru,2025-01-14,3,Company culture,Some project Client and some project manager,EMP0279,Diya Iyer,Active,2019-06-25,,6.4,4,A,Male,28
review-59424650,Nineleaps Technology Solutions,Software Development Engineer 1,Software Development,Bangalore / Bengaluru,2024-08-08,2,Nothing blah blah blah,Everything Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.,EMP0167,Aditya Singh,Active,2022-11-27,,4.9,1,A,Female,30
review-58554296,Nineleaps Technology Solutions,Senior Talent Partner,Recruitment & Talent Acquisition,Bangalore / Bengaluru,2025-01-07,4,"Learning, hikes and flexibility",Nothing as if now,EMP0241,Pooja Singh,Exited,2018-07-09,2023-10-23,6.5,2,A,Female,39
